Plot_ID,Zone,Habitat,Richness,Pielou,CWM_WD,CWM_SLA,CWM_Log10_Seed_Mass,CWM_Max_Height_m,FDis,FEve,Estimated_Mean_DBH,Estimated_Mean_Height,Structural_Coverage_Percent,Use_Primary_Association,Use_Factorial_Structural,Typology_ID,Typology_Name,Short_Name,Confidence_Class,Typology_Status,PC1,PC2
CmP1,Core,Major River,12,0.923,0.6200000000000001,15.376254737931967,2.3716478540927537,25.19846108,1.549648755865329,0.7697257542664879,27.361904761904764,26.82952380952381,77.77777777777777,False,True,T2,Buffer-Enriched Structurally Developed Diverse State,Structurally Developed Diverse,LOW_CONFIDENCE,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,-0.0497433554596421,0.585749063453242
CmP2,Core,Major River,15,0.867,0.6736363636363637,13.297145443271011,2.5964430827197376,28.267052380909085,1.3721195030879645,0.6958913847091963,26.48888888888889,26.692222222222224,81.81818181818181,False,True,T1,Core–Upland Dense-Wood Conservative State,Dense-Wood Conservative,HIGH_CONFIDENCE,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,-0.9549956016154032,2.069830732348934
CmP3,Core,Major River,12,0.94,0.6368181818181818,13.503277749936744,2.627693105159757,28.226097846818185,1.6260822291125805,0.7872191061513764,27.5825,27.922000000000004,90.9090909090909,True,True,T2,Buffer-Enriched Structurally Developed Diverse State,Structurally Developed Diverse,LOW_CONFIDENCE,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,0.30156350392038,0.9596316102724092
CmP4,Core,Major River,10,0.944,0.6514285714285714,11.214256528610726,2.245973054844591,28.12766154571429,1.4629370108766342,0.7221127461888238,23.11842105263158,24.054736842105264,90.47619047619048,True,True,T1,Core–Upland Dense-Wood Conservative State,Dense-Wood Conservative,HIGH_CONFIDENCE,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,-0.6717599001292748,1.4417839239275894
CmP5,Core,Major River,7,0.871,0.7284615384615385,10.338381713408015,2.34015951886746,25.393196780384617,1.2468049033003985,0.8150730876406163,22.08863636363636,22.224545454545453,84.61538461538461,False,True,T1,Core–Upland Dense-Wood Conservative State,Dense-Wood Conservative,HIGH_CONFIDENCE,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,-1.6563519584079929,1.8520989271128336
CmP6,Core,Major River,13,0.865,0.6904545454545455,10.900978752891293,2.512535536275062,23.48750858909091,1.4337041640080512,0.7747690508937245,21.857142857142858,21.92142857142857,95.45454545454544,True,True,T1,Core–Upland Dense-Wood Conservative State,Dense-Wood Conservative,HIGH_CONFIDENCE,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,-1.535979822480852,2.301657689418847
CmP7,Core,Major River,16,0.938,0.6136666666666666,13.6672969376112,2.4021761023744457,25.86664642766667,1.610010364672139,0.804205026000928,24.66481481481481,25.582222222222224,90.0,True,True,T2,Buffer-Enriched Structurally Developed Diverse State,Structurally Developed Diverse,LOW_CONFIDENCE,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,0.2506010639540479,1.4030535813357006
CmP8,Core,Major River,11,0.893,0.6404166666666667,12.69955534296875,2.3007868231407635,23.669227017500003,1.5797608250239128,0.7495100519613326,26.307894736842105,27.13684210526316,79.16666666666667,False,True,T1,Core–Upland Dense-Wood Conservative State,Dense-Wood Conservative,MODERATE_CONFIDENCE,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,-0.43232353863374,1.2571536309387676
CmP9,Core,Major River,13,0.873,0.6306666666666667,12.80698807907898,2.3727907046165715,22.903203852,1.624104638859433,0.7193996588076528,28.11458333333333,28.80625,80.0,False,True,T1,Core–Upland Dense-Wood Conservative State,Dense-Wood Conservative,MODERATE_CONFIDENCE,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,-0.346069261214407,1.519056679632863
CmP10,Core,Major River,13,0.881,0.6696875,12.250228786484378,2.3163835951790874,22.1469700221875,1.3742064055878451,0.7430578264842743,24.54,26.2408,78.125,False,True,T1,Core–Upland Dense-Wood Conservative State,Dense-Wood Conservative,HIGH_CONFIDENCE,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,-0.9352364220409008,1.9661448232114689
CsP1,Core,Stream,11,0.97,0.53,12.355166573579424,1.9806053248699595,22.1852393715,1.8290436910347256,0.8475254609168981,39.57666666666667,38.87555555555556,75.0,False,True,T2,Buffer-Enriched Structurally Developed Diverse State,Structurally Developed Diverse,MODERATE_CONFIDENCE,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,3.0914986150723878,0.3479537315305882
CsP2,Core,Stream,10,0.934,0.6011764705882352,15.43824191382353,2.2527148354894457,23.327524133176468,1.585489648486885,0.780933513028226,35.815384615384616,35.47692307692308,76.47058823529412,False,True,T2,Buffer-Enriched Structurally Developed Diverse State,Structurally Developed Diverse,MODERATE_CONFIDENCE,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,1.4252786472385004,0.1761710718227408
CsP3,Core,Stream,12,0.894,0.6058333333333333,11.750274902055624,2.1637858019327685,24.020208484666668,1.748173020862429,0.7043608972078369,40.43529411764706,38.42352941176471,70.83333333333333,False,False,,,,,,1.770899335581412,1.4231950936296724
CsP4,Core,Stream,13,0.946,0.5895238095238097,14.71670303787216,2.1573678344657297,23.29965977990476,1.703158438505631,0.7724094041281778,31.8375,32.284375,76.19047619047619,False,True,T2,Buffer-Enriched Structurally Developed Diverse State,Structurally Developed Diverse,HIGH_CONFIDENCE,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,1.29979231029512,0.6301465490910356
CsP5,Core,Stream,5,0.97,0.4599999999999999,17.267074181434733,1.4018732989339722,25.36027798,1.9907648308977288,0.9694333572848978,36.766666666666666,35.9,50.0,False,False,,,,,,3.4993979457726287,-2.133102721679398
CsP6,Core,Stream,15,0.961,0.5632,14.60966942201894,2.284975548956336,23.32874908464,1.748561221878778,0.8545477254403343,40.33809523809524,38.96666666666666,84.0,False,True,T2,Buffer-Enriched Structurally Developed Diverse State,Structurally Developed Diverse,MODERATE_CONFIDENCE,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,3.08477456851346,0.6450875274373181
CsP7,Core,Stream,9,0.923,0.6247368421052633,14.167188328053996,2.3143805726454763,24.270524517263155,1.4797042507397251,0.7562929405884304,36.73333333333333,35.78666666666666,78.94736842105263,False,True,T2,Buffer-Enriched Structurally Developed Diverse State,Structurally Developed Diverse,MODERATE_CONFIDENCE,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,1.1252614798627285,0.5393571986764935
CsP8,Core,Stream,7,0.906,0.618235294117647,10.055012889035217,1.9721736957514315,20.57668861141176,1.6478177671947116,0.6844649729769638,33.95,32.791666666666664,70.58823529411765,False,False,,,,,,0.3892904173098985,1.1842610631861596
CsP9,Core,Stream,6,0.951,0.4708333333333334,14.4402455437028,1.6823481823161013,32.76639843916667,1.6651187370902774,0.8373609114562419,46.635,43.75333333333333,100.0,True,True,T2,Buffer-Enriched Structurally Developed Diverse State,Structurally Developed Diverse,LOW_CONFIDENCE,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,3.9111985115902144,-1.014537703262063
CsP10,Core,Stream,10,0.962,0.615,15.144493302263127,2.525849451418161,25.574250183,1.580018149829522,0.7351237179262486,35.85,36.484375,88.88888888888889,False,True,T2,Buffer-Enriched Structurally Developed Diverse State,Structurally Developed Diverse,MODERATE_CONFIDENCE,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,1.4126786100927275,0.2522326410394592
CuP1,Core,Upland,8,0.791,0.69,9.959098939206354,2.059142228254354,27.532171741684213,1.5257145471226057,0.7048680075942797,22.14444444444445,22.55,94.73684210526316,True,True,T1,Core–Upland Dense-Wood Conservative State,Dense-Wood Conservative,HIGH_CONFIDENCE,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,-2.075531233848931,2.075661843856302
CuP2,Core,Upland,10,0.838,0.6658260739031261,12.283038708262067,2.0646057532462634,23.903072420600004,1.6637583632724262,0.740965867482842,22.78,23.8155,100.0,True,True,T1,Core–Upland Dense-Wood Conservative State,Dense-Wood Conservative,HIGH_CONFIDENCE,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,-1.2339344723605323,1.5048036222464714
CuP3,Core,Upland,7,0.844,0.6322222222222221,11.601087468630718,2.0595425295658525,29.604312904,1.7126218268341509,0.7453182491652542,23.183333333333334,24.3,100.0,True,True,T1,Core–Upland Dense-Wood Conservative State,Dense-Wood Conservative,HIGH_CONFIDENCE,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,-1.0204106176828365,0.9557293199152898
CuP4,Core,Upland,10,0.831,0.6173076923076923,13.206751433861257,2.118398201717434,27.793747959461538,1.804689290327236,0.7268947005519822,21.307692307692307,22.46153846153846,100.0,True,True,T1,Core–Upland Dense-Wood Conservative State,Dense-Wood Conservative,HIGH_CONFIDENCE,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,-1.3252477942999126,0.941283583969933
CuP5,Core,Upland,13,0.873,0.6655172413793102,12.467382827338394,2.190893398673336,30.581091507793104,1.652878151064698,0.7638610951771807,22.26206896551724,23.158620689655173,100.0,True,True,T1,Core–Upland Dense-Wood Conservative State,Dense-Wood Conservative,HIGH_CONFIDENCE,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,-0.6395113419381221,1.7630501270065146
